Model,Similarity Score (%),Raw Score
googletrans,80.46%,80.45934104919434
gemini-3.1-pro-preview,78.59%,78.59407043457031
gemini-3-flash-preview,77.93%,77.92529296875
gemini-2.5-pro,75.58%,75.58206176757812
gemini-2.5-flash,75.05%,75.046875
gemini-3.1-flash-lite-preview,72.55%,72.5535888671875
nllb-200-distilled-1.3B-ct2-int8,54.81%,54.80792236328125
claude-opus-4-6,54.32%,54.32433223724365
llama-4-maverick-17b-128e-instruct,50.01%,50.00958061218262
claude-sonnet-4-6,41.99%,41.99001979827881
gpt-5.1,36.35%,36.35131072998047
minimax-m2.1,32.24%,32.2382276058197
deepseek-v3.2,32.07%,32.071401596069336
kimi-k2-instruct-0905,28.98%,28.983871459960938
mistral-large-3-675b-instruct-2512,24.84%,24.84036636352539
llama-3.1-405b-instruct,24.49%,24.486040145158768
gpt-oss-120b,23.30%,23.299818992614746
gemma-3-27b-it,20.88%,20.88235205411911
gemma-3-1b-it,11.98%,11.97766125202179
llama-3.2-1b-instruct,10.07%,10.065782070159912
