Model,Similarity Score (%),Raw Score
googletrans,81.03%,81.02685546875
gemini-3.1-pro-preview,78.52%,78.5194091796875
gemini-3-flash-preview,78.10%,78.09716796875
gemini-2.5-pro,75.76%,75.7593994140625
gemini-3.1-flash-lite-preview,72.72%,72.71701049804688
gemini-2.5-flash,72.59%,72.59246826171875
claude-opus-4-6,70.93%,70.92974853515625
claude-sonnet-4-6,67.12%,67.11715698242188
gpt-5.1,66.19%,66.19306564331055
deepseek-v3.2,61.24%,61.23562622070312
kimi-k2-instruct-0905,59.86%,59.86353302001953
gpt-oss-120b,57.03%,57.029632568359375
llama-3.1-405b-instruct,56.32%,56.32284289598465
llama-4-maverick-17b-128e-instruct,53.88%,53.88236427307129
mistral-large-3-675b-instruct-2512,52.47%,52.468536376953125
nllb-200-distilled-1.3B-ct2-int8,49.06%,49.06322479248047
minimax-m2.1,48.43%,48.42893981933594
gemma-3-27b-it,37.49%,37.492634773254395
gemma-3-1b-it,12.38%,12.3819580078125
llama-3.2-1b-instruct,11.51%,11.512390494346619
